"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C28","List of items is present","radoslav radoslav","2/24/2023 3:42 PM","300s","300s","Medium","jira number ticket","Make a purchase","0","","Master","S2","Other","radoslav radoslav","2/27/2023 1:15 PM"
"C29","User is able to choose item","radoslav radoslav","2/24/2023 3:42 PM","300s","300s","Medium","jira number ticket","Make a purchase","0","","Master","S2","Other","radoslav radoslav","2/27/2023 1:28 PM"
"C31","User is able to add  item to the cart shop","radoslav radoslav","2/24/2023 3:43 PM","300s","300s","High","jira number ticket","Make a purchase","0","","Master","S2","Other","radoslav radoslav","2/27/2023 1:46 PM"
"C32","User is able to add multiple items to the cart shop","radoslav radoslav","2/24/2023 3:44 PM","","","Medium","","Make a purchase","0","","Master","S2","Other","radoslav radoslav","2/24/2023 3:44 PM"
"C33","User is able to make a payment","radoslav radoslav","2/24/2023 3:46 PM","","","Medium","","Make a purchase","0","","Master","S2","Other","radoslav radoslav","2/24/2023 3:46 PM"
"C35","User receive confirmation email","radoslav radoslav","2/24/2023 3:48 PM","","","Medium","","Make a purchase","0","","Master","S2","Other","radoslav radoslav","2/24/2023 3:48 PM"
"C36","Does the dropdown menu is present","radoslav radoslav","2/27/2023 1:02 PM","300s","300s","Medium","jira number ticket","Make a purchase","0","","Master","S2","Other","radoslav radoslav","2/27/2023 1:08 PM"
"C63","Does user is able to search for item","radoslav radoslav","3/6/2023 11:46 AM","300s","300s","Medium","jira number ticket","Make a purchase","0","","Master","S2","Other","radoslav radoslav","3/6/2023 11:50 AM"
